# CrokTile adapt-from-best: f16_128x8192x8192
# Reference: /home/albert/workspace/choreo/benchmark/performance/gemm_sp/gemm_sp_f16_aitune_2026-03-25_iter143/gemm_sp_f16_iter143_ref_adapted.cu
# Shape: M=128 N=8192 K=8192  Dtype: f16  Max iter: 30
iter	kernel	tflops	hw_eff_pct	decision	bottleneck	idea_summary	run_command
10	iter010_wn128_pad0.cu	184.4960	12.1941	DISCARD	ncu_timeout	remove output padding on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter010_wn128_pad0 --skip-verify
11	iter011_wn128_pad16.cu	188.0030	12.4259	DISCARD	ncu_timeout	increase output padding to 16 on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter011_wn128_pad16 --skip-verify
12	iter012_wn128_ns200.cu	188.8290	12.4804	DISCARD	ncu_timeout	add producer nanosleep(200) on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter012_wn128_ns200 --skip-verify
13	iter013_wn128_ns300.cu	188.0050	12.4260	DISCARD	ncu_timeout	add producer nanosleep(300) on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter013_wn128_ns300 --skip-verify
14	iter014_wn128_o3.cu	187.7750	12.4108	DISCARD	ncu_timeout	recompile WN128 dynamic variant at -O3	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter014_wn128_o3 --skip-verify
15	iter015_wn128_maxreg192.cu	188.0720	12.4304	DISCARD	ncu_timeout	constrain WN128 dynamic variant with maxrregcount=192	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter015_wn128_maxreg192 --skip-verify
16	iter016_wn128_l2all.cu	187.4610	12.3900	DISCARD	ncu_timeout	promote all tensor maps to L2_256B on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter016_wn128_l2all --skip-verify
17	iter017_wn128_l2all_ns200.cu	188.5390	12.4613	DISCARD	ncu_timeout	combine all-map L2_256B with nanosleep(200) on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter017_wn128_l2all_ns200 --skip-verify
18	iter018_wn128_meta8.cu	188.8730	12.4833	DISCARD	ncu_timeout	increase META_TILE_COLS to 8 on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter018_wn128_meta8 --skip-verify
19	iter019_choreo_1p1c_port.cu	0.0000	0.0000	DISCARD_INCORRECT	ncu_timeout	port choreo-generated 1p1c WN128 variant from nearby tuned shape	/tmp/f16_128x8192x8192_iter019_choreo_1p1c_port correctness failed
20	iter020_seed_wait0.cu	172.7190	11.4157	DISCARD	ncu_timeout	tighten warpgroup wait depth to 0 on the seed kernel	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter020_seed_wait0 --skip-verify
21	iter021_seed_launchbounds.cu	189.0860	12.4974	DISCARD	ncu_timeout	add launch_bounds(384,1) to the seed kernel	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter021_seed_launchbounds --skip-verify
22	iter022_seed_maxreg128.cu	187.7310	12.4078	DISCARD	ncu_timeout	constrain the seed kernel with maxrregcount=128	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter022_seed_maxreg128 --skip-verify
23	iter023_seed_l2out.cu	188.0790	12.4309	DISCARD	ncu_timeout	promote only the output tensor map to L2_256B on the seed kernel	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter023_seed_l2out --skip-verify
