# CrokTile adapt-from-best: f16_256x256x4096
# Reference: /home/albert/workspace/choreo/benchmark/performance/gemm_sp/gemm_sp_f16_aitune_2026-03-25_iter143/gemm_sp_f16_iter143_ref_adapted.cu
# Shape: M=256 N=256 K=4096  Dtype: f16  Max iter: 30
iter	kernel	tflops	hw_eff_pct	decision	bottleneck	idea_summary	run_command
10	iter010_pad0.cu	13.8469	0.9152	DISCARD	occupancy_limited	remove output shared-memory padding	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter010 --skip-verify
11	iter011_wait2.cu	14.0791	0.9305	DISCARD	occupancy_limited	relax warpgroup wait depth from 1 to 2	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter011 --skip-verify
12	iter012_nsfull200.cu	14.1757	0.9369	DISCARD	occupancy_limited	insert producer nanosleep(200) after full-stage barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter012 --skip-verify
13	iter013_port_meta8_ns200.cu	14.2256	0.9402	DISCARD	occupancy_limited	port META_TILE_COLS=8 with single producer nanosleep(200)	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter013 --skip-verify
14	iter014_pad16.cu	0.1707	0.0113	DISCARD	occupancy_limited	increase output shared-memory padding to 16	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter014 --skip-verify
15	iter015_nsmeta200.cu	0.1707	0.0113	DISCARD	occupancy_limited	insert producer nanosleep(200) after metadata barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter015 --skip-verify
16	iter016_port_meta8_only.cu	14.1892	0.9378	DISCARD	occupancy_limited	port META_TILE_COLS=8 without producer nanosleep	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter016 --skip-verify
17	iter017_l2all256.cu	14.4276	0.9536	DISCARD	occupancy_limited	promote all tensor maps to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter017 --skip-verify
18	iter018_pad32.cu	14.0881	0.9311	DISCARD	occupancy_limited	increase output shared-memory padding to 32	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter018 --skip-verify
19	iter019_port_meta4_dns.cu	14.4712	0.9565	KEEP	occupancy_limited	port double-nanosleep structure but revert META_TILE_COLS to 4	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter019 --skip-verify
20	iter020_l2meta256.cu	13.9822	0.9241	DISCARD	occupancy_limited	promote metadata tensor map to L2_256B only	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter020 --skip-verify
21	iter021_lb384_2.cu	0.0000	0.0000	DISCARD_COMPILE_FAIL	occupancy_limited	compile failed: add __launch_bounds__(384,2) to encourage higher residency assumptions	/tmp/f16_256x256x4096_iter021 compile failed
22	iter022_port_lb3841.cu	14.0795	0.9306	DISCARD	occupancy_limited	port 4096-square winner and add __launch_bounds__(384,1)	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter022 --skip-verify
23	iter023_port_l2rhs128.cu	13.9529	0.9222	DISCARD	occupancy_limited	port 4096-square winner and promote RHS tensor maps to L2_128B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter023 --skip-verify
24	iter024_port_wait0.cu	12.5628	0.8303	DISCARD	occupancy_limited	port 4096-square winner with wait depth 0	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter024 --skip-verify
25	iter025_port_wait2.cu	14.1952	0.9382	DISCARD	occupancy_limited	port 4096-square winner with wait depth 2	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter025 --skip-verify
26	iter026_port_pad16.cu	14.2960	0.9449	DISCARD	occupancy_limited	port 4096-square winner with output padding 16	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter026 --skip-verify
27	iter027_port_l2out256.cu	14.4149	0.9527	DISCARD	occupancy_limited	port 4096-square winner with output tensor map L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter027 --skip-verify
28	iter028_port_ns100_only.cu	14.3419	0.9479	DISCARD	occupancy_limited	port 4096-square winner with only the 100ns nanosleep	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter028 --skip-verify
29	iter029_port_ns200_only.cu	14.2419	0.9413	DISCARD	occupancy_limited	port 4096-square winner with only the 200ns nanosleep	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter029 --skip-verify
30	iter030_port_pad0_wait0.cu	12.3929	0.8191	DISCARD	occupancy_limited	port 4096-square winner with pad0 and wait depth 0	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter030 --skip-verify
